Valid_citing_DOI,Invalid_cited_DOI,Valid_DOI,Already_valid,Prefix_error,Suffix_error,Other-type_error,Pattern,Really_valid
10.2478/v10141-012-0008-1,10.1186/1471-2458-12-7http://www.biomedcentral.com,10.1186/1471-2458-12-7,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.1007/s00170-015-7798-3,"10.1007/s00170-012-4483-7,http://www.springerlink.com/content/97744668843ukp07",10.1007/s00170-012-4483-7,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.1017/s1743921315010406,10.17815/jlsrf-1-18http://doi.org/10.1016/j.icarus.2005.05.017,10.17815/jlsrf-1-18,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.2139/ssrn.2856803,10.3386/w26501.http://www.nber.org/papers/w26501,10.3386/w26501,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.21511/bbs.15(2).2020.03,10.1093/rfs/hhx132http://doi.org/10.1093/rfs/hhx132,10.1093/rfs/hhx132,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.2139/ssrn.2727414,10.1145/2090236.2090257http://doi.acm.org/10.1145/2090236.2090257,10.1145/2090236.2090257,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.1515/sjecr-2017-0017,10.2478/jomb-2014-0028http://www.dmbj.org.rs/jmb/pdf/2015-2/10.pdf,10.2478/jomb-2014-0028,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.1515/fca-2015-0082,10.2478/s13540-014-0218-9;http://www.degruyter.com/view/j/fca.2014.17.issue-4/issue-files/fca.2014.17.issue-4.xml,10.2478/s13540-014-0218-9,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.1038/nrg2999,10.1002/9780470015902.a0006270/abstract,10.1002/9780470015902.a0006270,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,1
10.1002/qre.2046,10.1002/qre.1915/pdf,10.1002/qre.1915,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,
10.1007/s10071-018-1227-6,10.1111/brv.12289/full,10.1111/brv.12289,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,
10.1186/s13072-019-0264-y,10.3389/fnmol.2017.00243/full,10.3389/fnmol.2017.00243,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,
10.1515/sbe-2017-0031,10.1111/1467-6486.00121/full,10.1111/1467-6486.00121,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,
10.1075/lal.27.09van,10.1111/j.1083-6101.1997.tb00072.x/full,10.1111/j.1083-6101.1997.tb00072.x,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,
10.1007/s12662-020-00673-8,10.1111/j.1469-7610.1976.tb00381.x/pdf,10.1111/j.1469-7610.1976.tb00381.x,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,
10.3390/fermentation4010003,10.1002/j.2050-0416.2004.tb00210.x/pdf,10.1002/j.2050-0416.2004.tb00210.x,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,
10.3389/fpsyt.2020.00654,10.3389/fpsyg.2017.00084/full,10.3389/fpsyg.2017.00084,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,
10.1080/25783858.2020.1732636,10.1111/j.1741-5446.2006.00241.x/abstract,10.1111/j.1741-5446.2006.00241.x,0,0,1,0,(\/(META|ABSTRACT|FULL|EPDF|PDF|SUMMARY)([>|\)](LAST)?ACCESSED\d+)?)$,
10.2139/ssrn.2498863,10.2139/ssrn.2038036>accessed25,10.2139/ssrn.2038036,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.2139/ssrn.3375190,10.2307/844838>accessed21,10.2307/844838,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.2139/ssrn.3720979,10.2139/ssrn.3418648>accessed16,10.2139/ssrn.3418648,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.2139/ssrn.3358930,10.1080/17579961.2017.1304921>accessed27,10.1080/17579961.2017.1304921,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.2139/ssrn.2985318,10.1787/221583463325>accessed23,10.1787/221583463325,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.2139/ssrn.2043174,10.1111/j.1540-6261.2005.00815.x/pdf>accessed10,10.1111/j.1540-6261.2005.00815.x,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.2139/ssrn.3692113,10.1093/acprof:oso/9780199592197.001.0001>accessed9,10.1093/acprof:oso/9780199592197.001.0001,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.2139/ssrn.2628598,10.4476/77102>accessed4,10.4476/77102,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.2139/ssrn.3437216,10.1089/cyber.2013.0477>accessed30,10.1089/cyber.2013.0477,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.2139/ssrn.3557163,10.1146/annurev-financial-110217-023025>accessed27,10.1146/annurev-financial-110217-023025,0,0,1,0,([>|\)](LAST)?ACCESSED\d+)$,
10.1101/2021.01.03.21249157,10.1177/0022034520970536journals.sagepub.com/home/jdr,10.1177/0022034520970536,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.1080/00131857.2018.1485014,10.1177/2043820617738836journals.sagepub.com/home/dhg,10.1177/2043820617738836,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.1080/0966369x.2016.1251396,10.1177/0261018315588894csp.sagepub.com,10.1177/0261018315588894,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.3389/fpsyg.2020.00023,10.1177/1754073911421379er.sagepub.com,10.1177/1754073911421379,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.1007/s00894-018-3636-5,10.1177/0021998316628973jcm.sagepub.com,10.1177/0021998316628973,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.1080/13678868.2019.1708157,10.1177/1523422316682736journals.sagepub.com/home/adh,10.1177/1523422316682736,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.1007/978-3-030-11169-4_8,10.1177/1069072716653376journals.sagepub.com/home/jca,10.1177/1069072716653376,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.1108/jacpr-08-2019-0434,10.1177/0743558414561297jar.sagepub.com,10.1177/0743558414561297,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.1007/978-3-319-56239-1_10,10.1177/0956462413492714std.sagepub.com,10.1177/0956462413492714,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.1101/2020.09.21.20198929,10.1177/1557988319863542journals.sagepub.com/home/jm,10.1177/1557988319863542,0,0,1,0,"([\.|\(|,|;]?[A-Z]*\.?SAGEPUB.*?)$",
10.1351/pac200880112377,"10.1016/j.sse.2004.05.051............-.48,2019(2004)",10.1016/j.sse.2004.05.051,0,0,1,0,(\.{5}.*?)$,
10.1351/pac-con-08-06-01,10.1021/ma0012898..........34362(2001),10.1021/ma0012898,0,0,1,0,(\.{5}.*?)$,
10.1351/pac200779020163,"10.1016/0040-4039(80)88091-9......21,4675(1980)",10.1016/0040-4039(80)88091-9,0,0,1,0,(\.{5}.*?)$,
10.1351/pac-con-08-08-19,"10.1016/j.tetlet.2007.07.142......48,6717(2007)",10.1016/j.tetlet.2007.07.142,0,0,1,0,(\.{5}.*?)$,
10.1351/pac200779040615,10.1038/25931...................395137(1998),10.1038/25931,0,0,1,0,(\.{5}.*?)$,
10.1351/pac200880112283,"10.1021/cm010084q.........13,3859(2001)",10.1021/cm010084q,0,0,1,0,(\.{5}.*?)$,
10.1351/pac200880122577,"10.1007/s00216-005-0264-6........384,951(2006)",10.1007/s00216-005-0264-6,0,0,1,0,(\.{5}.*?)$,
10.1351/pac200880050807,10.1055/s-2002-25764......717(2002),10.1055/s-2002-25764,0,0,1,0,(\.{5}.*?)$,
10.1351/pac200779111833,"10.1021/cr040695c.....106,1077(2006)",10.1021/cr040695c,0,0,1,0,(\.{5}.*?)$,
10.1351/pac200880081799,"10.1016/1074-5521(94)90014-0.......1,223(1994)",10.1016/1074-5521(94)90014-0,0,0,1,0,(\.{5}.*?)$,
10.1101/539833,10.1007/s10479-011-0841-3.,10.1007/s10479-011-0841-3,0,0,1,0,"([\.|,|<|&|\(|;]+)$",0
10.17660/actahortic.2020.1288.20,10.1007/978-3-319-90698-0_26.,10.1007/978-3-319-90698-0_26,0,0,1,0,"([\.|,|<|&|\(|;]+)$",0
10.1177/2054358119836124,10.1016/j.amepre.2015.07.017.,10.1016/j.amepre.2015.07.017,0,0,1,0,"([\.|,|<|&|\(|;]+)$",1
10.1289/ehp.1306724,10.1289/ehp.1103507.,10.1289/ehp.1103507,0,0,1,0,"([\.|,|<|&|\(|;]+)$",1
10.1080/02726351.2015.1119226,10.1016/j.triboint.2007.07.007.,10.1016/j.triboint.2007.07.007,0,0,1,0,"([\.|,|<|&|\(|;]+)$",1
10.1038/s41431-017-0058-2,10.1016/j.ajhg.2010.06.001.,10.1016/j.ajhg.2010.06.001,0,0,1,0,"([\.|,|<|&|\(|;]+)$",1
10.3389/fneur.2018.01156,10.1212/01.wnl.0000339482.84392.bd.,10.1212/01.wnl.0000339482.84392.bd,0,0,1,0,"([\.|,|<|&|\(|;]+)$",1
10.31362/patd.649250,10.1007/s00383-011-3048-4.,10.1007/s00383-011-3048-4,0,0,1,0,"([\.|,|<|&|\(|;]+)$",1
10.1101/539833,10.1007/s10479-011-0841-3.,10.1007/s10479-011-0841-3,0,0,1,0,"([\.|,|<|&|\(|;]+)$",0
10.1002/cbf.3191,10.1111/j.1749-6632.1999.tb08633.x.,10.1111/j.1749-6632.1999.tb08633.x,0,0,1,0,"([\.|,|<|&|\(|;]+)$",1
10.1080/03630242.2018.1553817,10.1371/journal.pone.0083649[doi],10.1371/journal.pone.0083649,0,0,1,0,(\[DOI\].*?)$,
10.1080/87565641.2013.870177,10.1076/jcen.26.1.55.23936[doi],10.1076/jcen.26.1.55.23936,0,0,1,0,(\[DOI\].*?)$,
10.1038/s41598-020-63076-7,10.1186/s12933-015-0324-y[doi],10.1186/s12933-015-0324-y,0,0,1,0,(\[DOI\].*?)$,
10.1038/s41598-019-46721-8,10.1002/cncr.24388[doi],10.1002/cncr.24388,0,0,1,0,(\[DOI\].*?)$,
10.1002/dmrr.2888,10.1073/pnas.0904944106[doi],10.1073/pnas.0904944106,0,0,1,0,(\[DOI\].*?)$,
10.1038/s41598-020-63076-7,10.3389/fendo.2018.00651[doi],10.3389/fendo.2018.00651,0,0,1,0,(\[DOI\].*?)$,
10.1002/pds.1912,10.1002/pds.1348[doi].eng,10.1002/pds.1348,0,0,1,0,(\[DOI\].*?)$,
10.1038/s41409-020-01153-1,10.1002/cncr.30140[doi],10.1002/cncr.30140,0,0,1,0,(\[DOI\].*?)$,
10.1007/978-3-319-33142-3_5,10.1371/journal.pone.0001961[doi],10.1371/journal.pone.0001961,0,0,1,0,(\[DOI\].*?)$,
10.1038/s41598-020-63076-7,10.1038/nature11095[doi],10.1038/nature11095,0,0,1,0,(\[DOI\].*?)$,
10.1038/s41598-018-32868-3,10.1371/journal.pone.0044815(2012),10.1371/journal.pone.0044815,0,0,1,0,(\(\d{4}\)?)$,
10.1080/14737159.2020.1731306,10.1001/jamaneurol.2019.0845(2019),10.1001/jamaneurol.2019.0845,0,0,1,0,(\(\d{4}\)?)$,
10.1351/pac200880071415,"10.1016/j.fuel.2005.12.023.......85,1494(2006)",10.1016/j.fuel.2005.12.023,0,0,1,0,(\(\d{4}\)?)$,
10.1007/978-981-15-7907-3_37,10.1007/s11219-016-9353-3(2018,10.1007/s11219-016-9353-3,0,0,1,0,(\(\d{4}\)?)$,
10.1351/pac-con-08-08-17,10.1002/star.19810330906...../33310(1981),10.1002/star.19810330906,0,0,1,0,(\(\d{4}\)?)$,
10.1186/s10194-018-0844-4,10.1111/bph.14053(2017),10.1111/bph.14053,0,0,1,0,(\(\d{4}\)?)$,
10.1351/pac-con-08-08-38,"10.1021/nl048965u.......5,5(2005)",10.1021/nl048965u,0,0,1,0,(\(\d{4}\)?)$,
10.1101/2020.04.08.20058313,10.1007/s00134-020-05991-x(2020),10.1007/s00134-020-05991-x,0,0,1,0,(\(\d{4}\)?)$,
10.1007/s12221-019-7717-6,10.3389/fmats.2014.00029(2014),10.3389/fmats.2014.00029,0,0,1,0,(\(\d{4}\)?)$,
10.1038/s41598-020-70241-5,10.3238/arztebl.2014.0101(2014),10.3238/arztebl.2014.0101,0,0,1,0,(\(\d{4}\)?)$,
10.2139/ssrn.3108127,10.1080/13691066.2014.925305?src=recsys,10.1080/13691066.2014.925305,0,0,1,0,(\?.*?=.*?)$,1
10.7717/peerj.5669,10.2307/3800887?refreqid=search-gateway:26bc99cd738b37679e645798b8123b20,10.2307/3800887,0,0,1,0,(\?.*?=.*?)$,
10.1515/opli-2019-0033,10.1037/a0024194.http://doi.apa.org/getdoi.cfm?doi=10.1037/a0024194,10.1037/a0024194,0,0,1,0,(\?.*?=.*?)$,
10.1515/vjbsd-2016-0005,10.1515/esrp-2015-0018.http://esrap.geo.uni.lodz.pl/index.php?page=v22n1,10.1515/esrp-2015-0018,0,0,1,0,(\?.*?=.*?)$,
10.2139/ssrn.3544786,10.1257/app.6.1.157.http://www.aeaweb.org/articles?id=10.1257/app.6.1.157,10.1257/app.6.1.157,0,0,1,0,(\?.*?=.*?)$,
10.7899/jce-14-19,10.1371/journal.pmed.1001069http:///journals.plos.org/plosmedicine/article?id=10.137,10.1371/journal.pmed.1001069,0,0,1,0,(\?.*?=.*?)$,
10.1080/14888386.2017.1407671,10.2307/1691?ref=search-gateway:41dcff817cc8ea709ae4dd8328270c95,10.2307/1691,0,0,1,0,(\?.*?=.*?)$,
10.1515/sg-2009-0004,10.1007/s00122-004-1737-2.http://openurl.ingenta.com/content?genre=article&issn=0040-5752&volume=109&issue=6&spage=1169&epage=1177,10.1007/s00122-004-1737-2,0,0,1,0,(\?.*?=.*?)$,
10.2139/ssrn.3166770,10.2307/2550890?origin=crossref,10.2307/2550890,0,0,1,0,(\?.*?=.*?)$,
10.1515/opli-2019-0033,10.5054/tq.2011.240859.http://openurl.ingenta.com/content/xref?genre=article&issn=0039-8322&volume=45&issue=1&spage=36,10.5054/tq.2011.240859,0,0,1,0,(\?.*?=.*?)$,
10.1007/s41976-019-00027-5,10.17882/52804#57467,10.17882/52804,0,0,1,0,(#.*?)$,
10.2196/12373,10.1080/00221309.1994.9921212#,10.1080/00221309.1994.9921212,0,0,1,0,(#.*?)$,
10.1080/02701367.2017.1342201,10.1177/2325967116648441#,10.1177/2325967116648441,0,0,1,0,(#.*?)$,
10.1007/978-3-030-04993-5_19,10.1007/978-94-007-6167-4_342-6#,10.1007/978-94-007-6167-4_342-6,0,0,1,0,(#.*?)$,
10.1007/s11104-020-04580-7,"10.1038/nature12525,http://www.nature.com/nature/journal/v502/n7470/abs/nature12525.html#supplementary-information",10.1038/nature12525,0,0,1,0,(#.*?)$,
10.3390/rs12050873,10.17882/52804#57467,10.17882/52804,0,0,1,0,(#.*?)$,
10.1080/03055698.2020.1719386,10.1177/160940690200100404#,10.1177/160940690200100404,0,0,1,0,(#.*?)$,
10.1007/978-3-658-20656-7_1,10.1177/1354068809102245#,10.1177/1354068809102245,0,0,1,0,(#.*?)$,
10.1057/978-1-137-58212-6_3,10.1007/s12129-015-9498-8#page-1,10.1007/s12129-015-9498-8,0,0,1,0,(#.*?)$,
10.1080/10407782.2018.1461494,10.1080/10407790.2014.992094#,10.1080/10407790.2014.992094,0,0,1,0,(#.*?)$,
10.2478/s11696-013-0516-4,10.1016/j.bmcl.2008.02.081.http://dx.doi.org/10.1016/j.bmcl.2008.02.081,10.1016/j.bmcl.2008.02.081,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.2478/s11696-009-0061-3,10.1016/j.aca.2008.02.068.http://dx.doi.org/10.1016/j.aca.2008.02.068,10.1016/j.aca.2008.02.068,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.2478/s11687-014-0217-8,10.1016/j.vetpar.2012.12.023http://dx.doi.org/10.1016/j.vetpar.2012.12.023,10.1016/j.vetpar.2012.12.023,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.2478/s11696-012-0153-3,10.1111/j.1751-1097.2007.00073.x.http://dx.doi.org/10.1111/j.1751-1097.2007.00073.x,10.1111/j.1751-1097.2007.00073.x,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.2478/s11696-013-0320-1,10.1016/j.talanta.2010.06.057.http://dx.doi.org/10.1016/j.talanta.2010.06.057,10.1016/j.talanta.2010.06.057,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.2478/s11696-013-0519-1,10.1007/s10008-007-0465-3.http://dx.doi.org/10.1007/s10008-007-0465-3,10.1007/s10008-007-0465-3,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.2478/s11696-009-0022-x,10.1006/abio.2000.4923.http://dx.doi.org/10.1006/abio.2000.4923,10.1006/abio.2000.4923,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.2478/s11696-010-0008-8,10.1016/j.automatica.2008.06.011.http://dx.doi.org/10.1016/j.automatica.2008.06.011,10.1016/j.automatica.2008.06.011,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.2478/s11696-012-0243-2,10.1021/jp9113317.http://dx.doi.org/10.1021/jp9113317,10.1021/jp9113317,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.2478/s11686-007-0032-1,10.1007/s11230-004-6348-4.http://dx.doi.org/10.1007/s11230-004-6348-4,10.1007/s11230-004-6348-4,0,1,0,0,HTTP:\/\/DX\.D[0|O]I\.[0|O]RG\/,1
10.18267/j.polek.1138,"10.1080/17938120.2014.886421,https://doi.org/10.1080/17938120.2014.886421",10.1080/17938120.2014.886421,0,1,1,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.2139/ssrn.3483939,10.2307/2131578.https://doi.org/10.2307/2131578,10.2307/2131578,0,1,0,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.18632/oncotarget.26405,10.1002/ijc.10906https://doi.org/10.1002/ijc.10906,10.1002/ijc.10906,0,1,0,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.1515/opli-2019-0033,10.1016/j.system.2017.10.010.https://doi.org/10.1016/j.system.2017.10.010,10.1016/j.system.2017.10.010,0,1,0,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.2139/ssrn.3544786,10.1080/19439342.2017.1378243.https://doi.org/10.1080/19439342.2017.1378243,10.1080/19439342.2017.1378243,0,1,0,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.1093/gji/ggaa080,10.1190/1.1444578https://doi.org/10.1190/1.1444578,10.1190/1.1444578,0,1,0,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.1007/s00158-019-02388-3,10.2514/1.13639https://doi.org/10.2514/1.13639,10.2514/1.13639,0,1,0,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.1007/s00367-018-0543-9,10.1016/0278-4343(93)90048-3https://doi.org/10.1016/0278-4343(93)90048-3,10.1016/0278-4343(93)90048-3,0,1,0,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.1007/s00779-018-1160-3,10.1088/1748-9326/11/7/074006https://doi.org/10.1088/1748-9326/11/7/074006,10.1088/1748-9326/11/7/074006,0,1,0,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.14710/ijred.2021.21843,10.1016/j.renene.2009.08.033.https://doi.org/10.1016/j.renene.2009.08.033,10.1016/j.renene.2009.08.033,0,1,0,0,HTTPS:\/\/D[0|O]I\.[0|O]RG\/,
10.18260/1-2--34041,10.1207/s15326985ep4102\_1,10.1207/s15326985ep4102_1,0,0,0,1,\\,
10.1007/s10479-020-03780-9,10.1007/978-3-642-35323-9\_10,10.1007/978-3-642-35323-9_10,0,0,0,1,\\,
10.4054/demres.2016.35.14,10.1007/978-3-319-19884-2\_10,10.1007/978-3-319-19884-2_10,0,0,0,1,\\,
10.1007/978-3-030-29959-0_35,10.1007/978-3-030-01950-1\_18,10.1007/978-3-030-01950-1_18,0,0,0,1,\\,
